nickname,pet_name,pet_type1,pet_type2,pet_weight,pet_age,trouble1,trouble2,trouble3
릴리,릴리,1,요크셔테리어,2.5,9,노령,뼈/관절,장
링고,링고,1,말티즈,5,5,장,치아/구강,호흡기
링링,링링,0,코리안 쇼트헤어,6.3,1,비만,치아/구강,피부/모질
마구와구,마구와구,0,러시안 블루,9,7,노령,비만,뼈/관절
마니1,마니1,1,말티즈,2.2,6,심장,뼈/관절,
마니2,마니2,1,말티즈,2,6,알러지,심장,호흡기
마로1,마로1,1,포메라니안,2.8,1,피부/모질,,
마로2,마로2,1,말티즈,4,10,노령,치아/구강,뼈/관절
마루1,마루1,1,시츄,3.5,1,알러지,장,행동
마루2,마루2,1,말티즈,3,4,장,치아/구강,뼈/관절
마루3,마루3,1,푸들,6,8,노령,치아/구강,
마루5,마루5,1,시츄,11,14,노령,눈/귀,뼈/관절
마리1,마리1,0,코리안 쇼트헤어,5,2,장,피부/모질,
마리3,마리3,1,말티즈,3,4,알러지,뼈/관절,피부/모질
마리4,마리4,0,러시안 블루,3,5,행동,치아/구강,피부/모질
마메,마메,0,아메리칸 쇼트헤어,5,3,심장,치아/구강,눈/귀
마블,마블,1,푸들,4,7,치아/구강,눈/귀,호흡기
마스,마스,0,코리안 쇼트헤어,3.7,4,치아/구강,,
마프,마프,0,터키시 앙고라,5,12,노령,치아/구강,
막내,막내,1,시츄,5,14,노령,뼈/관절,피부/모질
막둥이,막둥이,1,웰시 코기,8,13,노령,비만,뼈/관절
막디,막디,0,코리안 쇼트헤어,5,5,장,치아/구강,
만년,만년,1,시츄,5,12,노령,비만,치아/구강
만두1,만두1,1,베들링턴 테리어,9,2,눈/귀,,
만두3,만두3,1,시츄,5,7,알러지,,
만두4,만두4,0,터키시 앙고라,3,7,알러지,치아/구강,눈/귀
만두5,만두5,1,말티즈,3,7,노령,비만,뼈/관절
만식,만식,0,코리안 쇼트헤어,2,6,행동,,
말랭이,말랭이,0,믹스묘,4,13,노령,,
말티즈,말티즈,1,믹스견,6,2,알러지,행동,피부/모질
망고 ,망고 ,0,페르시안,3,4,치아/구강,눈/귀,뼈/관절
망고1,망고1,1,믹스견,7,1,행동,피부/모질,
망고3,망고3,1,포메라니안,4,3,행동,치아/구강,뼈/관절
망고4,망고4,1,닥스훈트,8,4,비만,알러지,뼈/관절
망고5,망고5,0,코리안 쇼트헤어,7,5,비만,치아/구강,
망고6,망고6,1,푸들,3,6,피부/모질,행동,장
망고7,망고7,1,말티즈,4,8,노령,치아/구강,뼈/관절
망치,망치,1,기타,28,7,신장/요로,호흡기,피부/모질
맥스1,맥스1,1,스피츠,5,6,행동,,
맥스2,맥스2,1,스피츠,5,6,치아/구강,,
맹이1,맹이1,0,맹크스,5.8,5,피부/모질,,
맹이2,맹이2,1,시츄,5.4,13,노령,눈/귀,피부/모질
머루,머루,1,믹스견,6,6,눈/귀,뼈/관절,피부/모질
먼지1,먼지1,0,러시안 블루,5,3,비만,신장/요로,호흡기
멍군이,멍군이,1,말티즈,6,7,비만,알러지,치아/구강
멍멍이1,멍멍이1,1,믹스견,10,3,노령,알러지,치아/구강
멍멍이2,멍멍이2,1,말티즈,3,9,노령,장,뼈/관절
멍뭉이,멍뭉이,1,시바견,8,2,행동,,
멍이1,멍이1,1,말티즈,3,8,행동,피부/모질,
메롱이,메롱이,1,말티즈,4,6,장,치아/구강,
메리1,메리1,1,골든 리트리버,50,1,피부/모질,,
메리2,메리2,0,페르시안,4.1,2,치아/구강,,
메리3,메리3,0,코리안 쇼트헤어,6,6,신장/요로,심장,당뇨
명숙이,명숙이,1,시츄,4,10,노령,비만,뼈/관절
모네,모네,0,러시안 블루,6,9,신장/요로,치아/구강,
모닝,모닝,0,코리안 쇼트헤어,6,4,비만,호흡기,
모리1,모리1,0,믹스묘,5,2,비만,피부/모질,
모모1,모모1,0,코리안 쇼트헤어,2,1,눈/귀,피부/모질,
모모4,모모4,0,코리안 쇼트헤어,6.5,4,비만,치아/구강,장
모모5,모모5,0,코리안 쇼트헤어,8,8,비만,심장,치아/구강
모모6,모모6,0,브리티시 쇼트헤어,5,10,노령,알러지,치아/구강
모찌2,모찌2,0,터키시 앙고라,4,5,치아/구강,,
모카1,모카1,0,샴,4.5,2,비만,장,
모카2,모카2,1,치와와,3,2,장,,
모카3,모카3,0,러시안 블루,5.2,6,행동,피부/모질,
모카4,모카4,1,치와와,5,7,비만,뼈/관절,피부/모질
몰랑말링,몰랑말링,0,스코티시 폴드,3.5,3,신장/요로,,
몰랑이,몰랑이,1,포메라니안,8,1,장,치아/구강,눈/귀
몰리1,몰리1,1,믹스견,4,6,행동,,
몰리2,몰리2,1,믹스견,4,9,행동,,
몽1,몽1,1,푸들,4,1,뼈/관절,치아/구강,피부/모질
몽2,몽2,1,믹스견,5,2,알러지,행동,뼈/관절
몽3,몽3,0,벵갈,5,4,장,치아/구강,피부/모질
몽그이,몽그이,1,말티즈,4,1,눈/귀,,
몽돌이,몽돌이,1,푸들,7,3,비만,행동,피부/모질
몽실이1,몽실이1,1,말티즈,5,5,비만,눈/귀,
몽실이2,몽실이2,1,시츄,4,9,알러지,뼈/관절,
몽실이3,몽실이3,1,시츄,3,10,노령,알러지,장
몽이1,몽이1,0,코리안 쇼트헤어,5,1,행동,치아/구강,
몽이11,몽이11,1,푸들,4,7,알러지,장,눈/귀
몽이12,몽이12,1,기타,4,8,장,심장,행동
몽이13,몽이13,1,말티즈,3.9,8,노령,장,심장
몽이19,몽이19,1,믹스견,8,7,장,신장/요로,눈/귀
몽이4,몽이4,1,요크셔테리어,4,3,비만,피부/모질,
몽이7,몽이7,1,말티즈,7,4,알러지,,
몽이8,몽이8,1,믹스견,7,4,뼈/관절,,
몽치,몽치,1,푸들,5,3,피부/모질,,
묘묘,묘묘,0,먼치킨,8,2,비만,,
묭,묭,0,코리안 쇼트헤어,8,11,노령,치아/구강,뼈/관절
무강,무강,1,시츄,6,7,알러지,비만,피부/모질
문이,문이,1,시츄,5.9,4,알러지,눈/귀,피부/모질
뭉,뭉,1,말티즈,5,7,비만,신장/요로,행동
뭉이1,뭉이1,1,포메라니안,3,3,신장/요로,치아/구강,눈/귀
뭉치1,뭉치1,1,골든 리트리버,20,1,행동,,
뭉치4,뭉치4,0,러시안 블루,6,4,행동,치아/구강,
뭉치5,뭉치5,1,포메라니안,7,5,비만,신장/요로,행동
뭉치6,뭉치6,1,포메라니안,5,7,비만,뼈/관절,피부/모질
뭉치7,뭉치7,1,페키니즈,5,7,장,행동,뼈/관절
뭉치8,뭉치8,1,말티즈,4,15,노령,알러지,호흡기
미나1,미나1,0,믹스묘,4,2,장,알러지,행동
미니4,미니4,1,포메라니안,2,2,치아/구강,,
미니5,미니5,1,푸들,4,7,노령,치아/구강,눈/귀
미니7,미니7,1,말티즈,4,17,심장,뼈/관절,피부/모질
미달이,미달이,1,시츄,8,5,장,,
미래,미래,1,말티즈,4,6,알러지,눈/귀,뼈/관절
미루,미루,1,푸들,3,6,치아/구강,뼈/관절,
미르2,미르2,1,비숑 프리제,7,8,행동,,
미리,미리,0,러시안 블루,5,1,치아/구강,,
미미1,미미1,1,진돗개,7,3,비만,,
미미2,미미2,0,러시안 블루,10,3,비만,,
미미3,미미3,1,포메라니안,2.7,3,피부/모질,,
미미4,미미4,0,코리안 쇼트헤어,5,3,비만,피부/모질,
미미6,미미6,0,코리안 쇼트헤어,7,5,비만,,
미미7,미미7,1,말티즈,3,11,노령,심장,피부/모질
미야1,미야1,0,코리안 쇼트헤어,5.1,2,장,,
미오,미오,0,믹스묘,4.1,3,알러지,행동,
미우1,미우1,0,믹스묘,3,2,장,피부/모질,치아/구강
미우2,미우2,0,믹스묘,4.1,3,행동,알러지,
미유1,미유1,0,러시안 블루,3,4,노령,,
미유2,미유2,0,벵갈,8,7,비만,신장/요로,
미카,미카,1,웰시 코기,17,7,노령,비만,치아/구강
미케,미케,0,코리안 쇼트헤어,6,9,노령,비만,행동
미코1,미코1,0,샴,5.7,2,비만,알러지,
미코2,미코2,0,믹스묘,3.7,5,노령,뼈/관절,
미호,미호,0,먼치킨,5,3,행동,,
민아,민아,1,비숑 프리제,5.5,2,알러지,치아/구강,눈/귀
밀크2,밀크2,0,노르웨이숲,5.5,1,알러지,,
밀크3,밀크3,0,노르웨이숲,3.6,1,피부/모질,,
밀크4,밀크4,1,말티즈,3,3,치아/구강,눈/귀,뼈/관절
밀키1,밀키1,0,페르시안,5,2,행동,눈/귀,
밀키2,밀키2,0,기타,1,3,피부/모질,비만,신장/요로
밍1,밍1,1,포메라니안,9,7,당뇨,치아/구강,뼈/관절
밍2,밍2,1,믹스견,5.5,15,노령,장,당뇨
밍밍이,밍밍이,1,푸들,4,4,장,치아/구강,
밍이,밍이,1,믹스견,5,14,노령,치아/구강,
밍키1,밍키1,0,아메리칸 쇼트헤어,3,2,알러지,치아/구강,호흡기
밍키2,밍키2,1,푸들,6,2,알러지,치아/구강,호흡기
밍키3,밍키3,1,치와와,5,5,행동,치아/구강,
바나나,바나나,0,아비시니안,3,4,치아/구강,,
바니1,바니1,1,푸들,3,6,행동,치아/구강,눈/귀
바니3,바니3,1,말티즈,6,11,노령,눈/귀,뼈/관절
바다2,바다2,1,미니어쳐 핀셔,5,5,장,치아/구강,눈/귀
바다4,바다4,0,러시안 블루,8,8,노령,,
바둥이,바둥이,1,믹스견,6,6,치아/구강,,
바모스,바모스,1,골든 리트리버,28,4,알러지,치아/구강,뼈/관절
바야1,바야1,1,진돗개,15,5,행동,,
박시,박시,1,골든 리트리버,10,3,알러지,,
박하,박하,1,기타,9,1,노령,치아/구강,뼈/관절
반달이,반달이,1,믹스견,4,9,치아/구강,,
반디2,반디2,1,진돗개,30,4,치아/구강,알러지,피부/모질
밤1,밤1,0,러시안 블루,6,2,비만,행동,피부/모질
밤비,밤비,0,코리안 쇼트헤어,10,4,비만,,
밤탱이,밤탱이,1,푸들,4,20,노령,치아/구강,뼈/관절
밤톨2,밤톨2,1,요크셔테리어,5,16,노령,장,행동
밤톨비,밤톨비,0,아메리칸 쇼트헤어,9,12,노령,비만,치아/구강
밤톨이,밤톨이,1,닥스훈트,5,3,비만,,
밥풀,밥풀,1,말티즈,2,4,알러지,눈/귀,피부/모질
방우리,방우리,1,치와와,4,10,노령,비만,알러지
방울2,방울2,1,요크셔테리어,4.2,11,노령,비만,알러지
방울3,방울3,1,요크셔테리어,4,12,노령,,
방울이1,방울이1,0,코리안 쇼트헤어,4,2,눈/귀,,
방울이3,방울이3,1,말티즈,3,2,비만,알러지,장
방울이4,방울이4,0,코리안 쇼트헤어,4,8,노령,신장/요로,뼈/관절
방자,방자,1,웰시 코기,14,7,노령,장,행동
배비,배비,0,러시안 블루,5,11,노령,치아/구강,피부/모질
백설,백설,1,포메라니안,5,2,뼈/관절,피부/모질,
백이2,백이2,1,기타,6,5,행동,치아/구강,뼈/관절
백코,백코,1,말티즈,3,7,호흡기,뼈/관절,피부/모질
뱅갈2,뱅갈2,0,믹스묘,7,2,행동,,
버터,버터,0,코리안 쇼트헤어,4.5,8,노령,치아/구강,
베르,베르,1,도베르만,36,4,장,,
베리1,베리1,0,코리안 쇼트헤어,5.1,5,치아/구강,뼈/관절,장
베리3,베리3,0,코리안 쇼트헤어,5,5,장,치아/구강,
베리4,베리4,0,코리안 쇼트헤어,5.1,5,비만,장,치아/구강
베리7,베리7,0,코리안 쇼트헤어,7.5,7,비만,뼈/관절,피부/모질
베리8,베리8,1,슈나우저,7,11,노령,비만,알러지
베리9,베리9,1,말티즈,3,15,노령,치아/구강,눈/귀
베베1,베베1,1,비숑 프리제,4,1,눈/귀,호흡기,뼈/관절
베베2,베베2,1,기타,1,1,알러지,눈/귀,피부/모질
베쓰,베쓰,0,코리안 쇼트헤어,2,20,노령,치아/구강,피부/모질
벤쯔1,벤쯔1,1,믹스견,4,9,행동,,
벤쯔2,벤쯔2,1,믹스견,4,9,치아/구강,,
벼리,벼리,1,말티즈,5,1,비만,,
별1,별1,1,말티즈,3,6,행동,,
별2,별2,1,말티즈,3.3,13,노령,비만,
별3,별3,1,말티즈,3.4,13,노령,눈/귀,
별5,별5,1,말티즈,3,12,노령,뼈/관절,피부/모질
별마루,별마루,1,시베리안 허스키,17,3,심장,호흡기,
별이/모모,별이/모모,1,요크셔테리어,4,13,노령,치아/구강,피부/모질
별이1,별이1,0,코리안 쇼트헤어,6,2,비만,행동,치아/구강
별이2,별이2,0,코리안 쇼트헤어,6,3,비만,,
별이3,별이3,1,시츄,5,4,알러지,눈/귀,피부/모질
별이4,별이4,1,치와와,4,12,노령,치아/구강,눈/귀
별이5,별이5,1,말티즈,3.4,13,노령,치아/구강,눈/귀
별이6,별이6,1,말티즈,3.6,13,노령,,
별이7,별이7,1,말티즈,4,13,노령,심장,치아/구강
보더,보더,1,보더 콜리,10,3,뼈/관절,눈/귀,장
보라,보라,0,코리안 쇼트헤어,5,5,치아/구강,,
보름,보름,0,코리안 쇼트헤어,6,2,행동,치아/구강,뼈/관절
보름이,보름이,1,말티즈,7.5,13,노령,비만,피부/모질
보리1,보리1,0,벵갈,4,1,비만,,
보리11,보리11,1,말티즈,5.5,5,알러지,눈/귀,뼈/관절
보리12,보리12,0,브리티시 쇼트헤어,6,5,비만,치아/구강,신장/요로
보리13,보리13,1,시츄,6,5,신장/요로,뼈/관절,피부/모질
보리14,보리14,1,푸들,6,6,비만,행동,뼈/관절
보리16,보리16,0,믹스묘,6,7,비만,눈/귀,
보리17,보리17,0,코리안 쇼트헤어,6,7,비만,장,
보리18,보리18,1,말티즈,4,10,알러지,호흡기,뼈/관절
보리2,보리2,1,포메라니안,2,2,장,행동,치아/구강
보리20,보리20,1,시츄,3,15,노령,알러지,심장
보리21,보리21,0,믹스묘,4,4,피부/모질,비만,알러지
보리3,보리3,1,믹스견,6,2,행동,치아/구강,뼈/관절
보리4,보리4,0,아메리칸 쇼트헤어,4,3,장,치아/구강,뼈/관절
보리5,보리5,1,포메라니안,5,3,장,행동,치아/구강
보리6,보리6,1,보더 콜리,15,3,노령,치아/구강,뼈/관절
보리7,보리7,1,웰시 코기,11,4,심장,행동,치아/구강
보리8,보리8,1,포메라니안,6,4,비만,치아/구강,뼈/관절
보리9,보리9,1,포메라니안,4,4,치아/구강,뼈/관절,피부/모질
보미1,보미1,1,치와와,5,4,피부/모질,,
보미3,보미3,1,믹스견,4,9,행동,,
보배1,보배1,1,말티즈,6,9,비만,신장/요로,
보배2,보배2,1,말티즈,3,14,치아/구강,호흡기,뼈/관절
보석,보석,1,시츄,5,12,노령,치아/구강,눈/귀
보카,보카,1,웰시 코기,17,8,노령,비만,알러지
보화,보화,1,기타,6,12,노령,비만,치아/구강
복돌,복돌,1,믹스견,9,6,피부/모질,,
복돌이,복돌이,1,믹스견,30,4,비만,치아/구강,뼈/관절
복동이,복동이,1,말티즈,4,1,행동,눈/귀,피부/모질
복실이1,복실이1,1,말티즈,4,3,비만,치아/구강,뼈/관절
복실이2,복실이2,1,시츄,8,5,장,,
복이1,복이1,1,믹스견,4,9,행동,,
볼리,볼리,1,말티즈,6,6,비만,치아/구강,뼈/관절
볼트,볼트,1,기타,15,7,노령,치아/구강,뼈/관절
봄1,봄1,0,코리안 쇼트헤어,5,2,비만,장,뼈/관절
봄2,봄2,1,믹스견,5,3,알러지,치아/구강,피부/모질
봄3,봄3,0,코리안 쇼트헤어,4,4,피부/모질,,
봄4,봄4,1,말티즈,3,5,비만,알러지,뼈/관절
봄5,봄5,0,코리안 쇼트헤어,4,6,장,신장/요로,행동
봄7,봄7,1,닥스훈트,7,13,노령,신장/요로,뼈/관절
봄8,봄8,1,코커 스패니얼,13,15,노령,신장/요로,뼈/관절
봄이1,봄이1,0,먼치킨,1,1,행동,,
봄이2,봄이2,0,노르웨이숲,5,3,피부/모질,,
봄이5,봄이5,1,포메라니안,3,2,치아/구강,호흡기,
봉구,봉구,0,페르시안,6,7,노령,비만,치아/구강
봉달이2,봉달이2,1,포메라니안,12,10,노령,비만,피부/모질
봉봉,봉봉,1,푸들,4,1,장,눈/귀,뼈/관절
봉봉 ,봉봉 ,0,코리안 쇼트헤어,7,4,비만,치아/구강,
봉봉이 ,봉봉이 ,0,아메리칸 쇼트헤어,4,4,눈/귀,,
봉봉이1,봉봉이1,1,믹스견,4,6,치아/구강,행동,
봉봉이2,봉봉이2,1,푸들,6,9,뼈/관절,,
봉숙,봉숙,1,푸들,3,3,비만,뼈/관절,
봉자1,봉자1,1,기타,18,2,치아/구강,피부/모질,
봉지,봉지,1,웰시 코기,17,6,노령,비만,치아/구강
부기,부기,0,샴,3.2,3,장,,
부꾸,부꾸,1,휘핏,10,1,행동,뼈/관절,피부/모질
북구,북구,1,믹스견,5,2,행동,치아/구강,눈/귀
불리,불리,1,기타,23,1,치아/구강,뼈/관절,피부/모질
붕붕이,붕붕이,1,말티즈,10,3,비만,,
뷱천,뷱천,1,파피용,5,7,비만,신장/요로,심장
블랙,블랙,1,믹스견,8,7,알러지,눈/귀,피부/모질
블룽이,블룽이,0,러시안 블루,4.8,4,장,,
블리,블리,0,러시안 블루,8,4,비만,신장/요로,피부/모질
비누,비누,1,골든 리트리버,40,5,장,치아/구강,호흡기
비니,비니,1,믹스견,4,6,치아/구강,행동,눈/귀
비비1,비비1,0,러시안 블루,4.5,2,눈/귀,피부/모질,
비숑,비숑,1,푸들,4.3,2,눈/귀,,
비토,비토,1,그레이하운드,9,5,알러지,장,신장/요로
빈이,빈이,0,시베리안,7,4,심장,,
빠기,빠기,1,비숑 프리제,1.6,1,장,눈/귀,
빨강이,빨강이,0,코리안 쇼트헤어,7,4,비만,눈/귀,치아/구강
빵이1,빵이1,1,진돗개,15,5,치아/구강,행동,
빵이2,빵이2,1,말티즈,3.8,11,노령,신장/요로,뼈/관절
뽀리,뽀리,1,말티즈,4,7,치아/구강,눈/귀,피부/모질
뽀미3,뽀미3,1,퍼그,8,14,노령,행동,눈/귀
뽀비,뽀비,1,푸들,4,2,치아/구강,,
뽀삐1,뽀삐1,1,포메라니안,3,5,장,,
뽀삐4,뽀삐4,1,퍼그,7,4,행동,,
뽀삐6,뽀삐6,1,포메라니안,3,5,노령,치아/구강,뼈/관절
뽀삐7,뽀삐7,1,포메라니안,5,5,장,행동,
뽀삐8,뽀삐8,1,말티즈,6,8,노령,알러지,눈/귀
뽀송,뽀송,1,푸들,4,7,장,호흡기,피부/모질
뽀송이,뽀송이,1,웰시 코기,3,2,알러지,장,
뽀순이,뽀순이,1,기타,12,8,알러지,장,피부/모질
뽀야1,뽀야1,1,믹스견,3,6,노령,치아/구강,뼈/관절
뽀야2,뽀야2,1,말티즈,4,6,알러지,행동,
뽀야3,뽀야3,1,기타,7,6,비만,치아/구강,뼈/관절
뽕식이,뽕식이,0,코리안 쇼트헤어,6,8,치아/구강,,
뿅뿅이,뿅뿅이,1,푸들,4,2,비만,피부/모질,뼈/관절
뿌꾸1,뿌꾸1,1,레브라도 리트리버,28,2,행동,눈/귀,
뿌꾸2,뿌꾸2,0,샴,6,2,비만,치아/구강,
뿌꾸3,뿌꾸3,1,기타,9,5,신장/요로,뼈/관절,
뿌뿌,뿌뿌,1,말티즈,3.4,8,알러지,장,행동
뿡,뿡,0,코리안 쇼트헤어,6,3,알러지,신장/요로,호흡기
쁨,쁨,1,포메라니안,8,1,비만,눈/귀,뼈/관절
삐뽀,삐뽀,1,시츄,3.6,3,뼈/관절,,
삐삐1,삐삐1,1,말티즈,4,3,비만,행동,피부/모질
삐삐2,삐삐2,0,맹크스,3,3,알러지,,
삐삐3,삐삐3,1,웰시 코기,3.5,4,알러지,,
사랑1,사랑1,1,푸들,2,1,치아/구강,눈/귀,
사랑3,사랑3,1,말티즈,5,7,비만,장,눈/귀
사랑5,사랑5,1,포메라니안,1,10,노령,비만,장
사랑이11,사랑이11,1,시츄,4,10,노령,신장/요로,치아/구강
사랑이12,사랑이12,1,미니어쳐 핀셔,6,10,노령,비만,치아/구강
사랑이15,사랑이15,1,말티즈,5,14,노령,행동,치아/구강
사랑이16,사랑이16,1,요크셔테리어,4,7,비만,신장/요로,피부/모질
사랑이2,사랑이2,1,푸들,3.9,2,뼈/관절,눈/귀,
사랑이4,사랑이4,1,푸들,3.9,3,눈/귀,뼈/관절,
사랑이5,사랑이5,1,시츄,6,5,비만,행동,
사랑이6,사랑이6,1,말티즈,6,7,비만,알러지,치아/구강
사랑이7,사랑이7,1,말티즈,3.5,7,알러지,뼈/관절,피부/모질
사랑이9,사랑이9,1,푸들,5,8,알러지,치아/구강,피부/모질
사자개,사자개,1,시츄,5,3,알러지,행동,눈/귀
산초,산초,1,믹스견,4,5,알러지,,
삼순,삼순,0,코리안 쇼트헤어,4,4,장,신장/요로,눈/귀
삼순이,삼순이,1,포메라니안,12,5,심장,행동,눈/귀
삼식,삼식,0,아메리칸 쇼트헤어,6,8,비만,장,치아/구강
삼콩이,삼콩이,1,비숑 프리제,3,2,행동,뼈/관절,
새롬,새롬,1,말티즈,3,3,알러지,피부/모질,
새봄,새봄,0,믹스묘,5,5,치아/구강,뼈/관절,피부/모질
새싹이,새싹이,1,시츄,5,9,노령,눈/귀,피부/모질
새우1,새우1,1,웰시 코기,15,1,알러지,장,치아/구강
새우2,새우2,1,웰시 코기,15,2,장,치아/구강,뼈/관절
새해1,새해1,0,샴,10,3,알러지,눈/귀,피부/모질
샌디,샌디,1,요크셔테리어,5,6,장,치아/구강,
샐리,샐리,1,요크셔테리어,10,5,치아/구강,호흡기,뼈/관절
샤넬1,샤넬1,0,먼치킨,2.8,1,뼈/관절,비만,치아/구강
샤샤,샤샤,1,포메라니안,3,4,행동,치아/구강,뼈/관절
샤오미1,샤오미1,0,샴,3,1,치아/구강,,
샤크1,샤크1,1,닥스훈트,12,4,알러지,치아/구강,눈/귀
샤크2,샤크2,1,닥스훈트,12,6,알러지,치아/구강,눈/귀
설1,설1,1,푸들,2.5,1,알러지,신장/요로,피부/모질
설2,설2,1,말티즈,2,3,알러지,,
설기,설기,1,믹스견,4,6,행동,치아/구강,
설아,설아,1,기타,24,12,행동,뼈/관절,
설이1,설이1,1,푸들,3.5,1,뼈/관절,,
설이3,설이3,1,말티즈,2.1,7,노령,뼈/관절,치아/구강
성빈,성빈,1,시츄,4,1,알러지,피부/모질,
세나2,세나2,1,요크셔테리어,4,19,노령,심장,치아/구강
세레,세레,1,웰시 코기,12,4,뼈/관절,피부/모질,
세리,세리,1,말티즈,2,3,알러지,눈/귀,뼈/관절
세미2,세미2,1,포메라니안,4,10,비만,치아/구강,뼈/관절
셋째,셋째,0,코리안 쇼트헤어,4.5,4,비만,치아/구강,
소망,소망,0,코리안 쇼트헤어,5,5,비만,,
소미1,소미1,0,노르웨이숲,7,4,심장,신장/요로,
소봉이,소봉이,0,러시안 블루,4,3,신장/요로,,
소영이1,소영이1,1,푸들,2.3,1,치아/구강,눈/귀,
솔,솔,1,시츄,5.9,4,알러지,눈/귀,피부/모질
솔라,솔라,1,말티즈,4,7,알러지,호흡기,뼈/관절
솔로몬,솔로몬,1,웰시 코기,8,1,비만,뼈/관절,피부/모질
솜1,솜1,0,코리안 쇼트헤어,8,4,비만,,
솜2,솜2,1,스피츠,12,5,장,뼈/관절,비만
솜3,솜3,1,스피츠,12,5,장,뼈/관절,비만
솜이2,솜이2,0,스코티시 폴드,3,1,비만,호흡기,
솜이3,솜이3,1,믹스견,8,2,치아/구강,뼈/관절,피부/모질
솜이4,솜이4,1,비숑 프리제,6,3,눈/귀,,
솜이5,솜이5,0,노르웨이숲,6,4,행동,,
솜이6,솜이6,1,말티즈,3,4,비만,심장,뼈/관절
송송,송송,1,시바견,12,8,노령,신장/요로,치아/구강
송이1,송이1,0,터키시 앙고라,4,2,비만,치아/구강,
송이2,송이2,0,터키시 앙고라,3,2,치아/구강,,
송이3,송이3,1,믹스견,4,6,피부/모질,,
송이4,송이4,1,포메라니안,2.3,8,노령,심장,뼈/관절
송이5,송이5,1,시츄,8,10,노령,치아/구강,
송이6,송이6,0,코리안 쇼트헤어,3.3,13,노령,치아/구강,신장/요로
수지,수지,1,포메라니안,5,6,비만,장,뼈/관절
수키,수키,1,말티즈,3,10,노령,심장,치아/구강
순대2,순대2,0,코리안 쇼트헤어,7.2,7,비만,노령,치아/구강
순돌이1,순돌이1,1,믹스견,10,4,장,행동,눈/귀
순식이,순식이,0,코리안 쇼트헤어,5,5,행동,,
순심이,순심이,1,스피츠,9.5,4,행동,치아/구강,
순이2,순이2,0,벵갈,2.9,2,피부/모질,,
숭이,숭이,1,웰시 코기,10.2,2,행동,,
쉼바,쉼바,0,코리안 쇼트헤어,6,11,노령,심장,치아/구강
슈가1,슈가1,0,페르시안,2,1,장,행동,
슈가3,슈가3,1,비숑 프리제,4,3,치아/구강,눈/귀,피부/모질
스파키,스파키,1,치와와,4,8,눈/귀,호흡기,피부/모질
스피츠,스피츠,1,스피츠,13,6,비만,치아/구강,호흡기
시루1,시루1,1,푸들,6,5,눈/귀,뼈/관절,
시베리안,시베리안,0,아비시니안,1.8,1,행동,,
시오,시오,0,랙돌,8,3,뼈/관절,,
시월이2,시월이2,1,믹스견,5.4,7,치아/구강,피부/모질,
심덕,심덕,0,아메리칸 쇼트헤어,5,1,비만,장,
쌀밥,쌀밥,0,터키시 앙고라,4,2,눈/귀,피부/모질,
쌤,쌤,0,샴,4,2,장,행동,
써니1,써니1,1,시츄,5.9,4,알러지,눈/귀,피부/모질
써니2,써니2,1,프렌치 불독,6,5,신장/요로,심장,뼈/관절
쏘니,쏘니,0,코리안 쇼트헤어,5,5,알러지,치아/구강,피부/모질
쏘피,쏘피,0,러시안 블루,8,8,비만,눈/귀,
쏭,쏭,1,말티즈,10,3,행동,,
쓰리,쓰리,1,포메라니안,3,16,노령,심장,치아/구강
씩씩이,씩씩이,1,말티즈,25,15,비만,치아/구강,뼈/관절
아공,아공,1,시츄,4,7,장,심장,눈/귀
아롱1,아롱1,1,푸들,5,1,신장/요로,뼈/관절,피부/모질
아롱2,아롱2,1,믹스견,23,7,눈/귀,,
아롱3,아롱3,1,말티즈,3.8,7,노령,장,치아/구강
아롱4,아롱4,1,요크셔테리어,4,11,노령,신장/요로,뼈/관절
아롱5,아롱5,1,요크셔테리어,2,13,노령,치아/구강,뼈/관절
아롱이2,아롱이2,1,말티즈,5,4,비만,눈/귀,뼈/관절
아롱이4,아롱이4,0,코리안 쇼트헤어,6.5,10,비만,,
아름,아름,0,코리안 쇼트헤어,5,3,치아/구강,뼈/관절,피부/모질
아리1,아리1,0,코리안 쇼트헤어,3,2,장,치아/구강,
아리2,아리2,1,믹스견,4,12,노령,호흡기,뼈/관절
아미,아미,1,요크셔테리어,3.5,14,뼈/관절,노령,
아오,아오,0,샴,5.8,6,치아/구강,장,
아지1,아지1,1,시츄,4,2,알러지,장,호흡기
아지2,아지2,1,치와와,15,4,비만,행동,치아/구강
아지3,아지3,1,말티즈,4,7,노령,신장/요로,뼈/관절
아지5,아지5,1,말티즈,4,9,노령,심장,호흡기
아토,아토,1,말티즈,2.3,4,노령,,
아톰1,아톰1,1,믹스견,15,5,행동,치아/구강,
아톰2,아톰2,1,진돗개,15,5,행동,치아/구강,
안냐옹,안냐옹,0,코리안 쇼트헤어,4,6,비만,치아/구강,피부/모질
알록,알록,0,코리안 쇼트헤어,2,1,신장/요로,치아/구강,눈/귀
앙꾸,앙꾸,1,푸들,3,15,노령,신장/요로,치아/구강
앙리1,앙리1,1,포메라니안,10,1,행동,눈/귀,피부/모질
애기1,애기1,0,샴,3,1,신장/요로,치아/구강,피부/모질
애기2,애기2,1,말티즈,5,2,행동,치아/구강,
애기3,애기3,1,시츄,5,13,노령,치아/구강,눈/귀
애옹,애옹,0,스코티시 폴드,4,1,신장/요로,뼈/관절,
