product,brand,salary_age,category,salary_type,pet_type,기능,weight,price,product_name,crud_protein,crud_fat,crud_fiber,crud_ash,ca,p,water
4471,339,생후2개월 이상,덴탈껌,반려견,1,,100g,6000,파밀 멀티케어 덴탈츄 플러스 치석제거와 관절건강,5,0.5,10,5,0.01,0.3,19
4472,339,생후2개월 이상,덴탈껌,반려견,1,,130g,6500,파밀 덴탈츄 피모건강,5,0.5,10,5,0.01,0.3,19
4473,339,생후2개월 이상,덴탈껌,반려견,1,,12개,9000,"파밀 뉴트리렉스 덴탈스틱 (뼈,관절,치아 건강에 도움)",2,1,25,6,0.01,0.3,19
4474,339,생후2개월 이상,덴탈껌,반려견,1,,12개,9000,"파밀 뉴트리렉스 덴탈스틱 (피부,모질,잇몸 건강에 도움)",2,1,25,6,0.01,0.3,19
4475,339,생후2개월 이상,덴탈껌,반려견,1,,12개,9000,"파밀 뉴트리렉스 덴탈스틱(소화기관 개선, 구취억제에 도움)",2,1,25,6,0.01,0.3,19
4476,339,생후2개월 이상,덴탈껌,반려견,1,,300g,5400,파밀 로만티트리스틱 녹차,11.5,3,0.03,4,0.08,0.3,
4477,339,생후2개월 이상,덴탈껌,반려견,1,,300g,5400,파밀 로만티트리스틱 세이지,11.5,3,0.03,4,0.08,0.3,
4478,339,생후2개월 이상,덴탈껌,반려견,1,,300g,5400,파밀 로만티트리스틱 칼슘,11.5,3,0.03,4,0.08,0.3,
4479,339,생후2개월 이상,덴탈껌,반려견,1,,300g,7500,파밀 로만티트리스틱 크랜베리,11.5,3,0.03,4,0.08,0.3,
4480,339,생후2개월 이상,덴탈껌,반려견,1,,300g,5400,파밀 로만티트리스틱 혼합,11.5,3,0.03,4,0.08,0.3,
4481,339,3개월 이상,덴탈껌,반려견,1,,100g,3000,파밀 사보로츄 껌 체중조절,12,1,25,6,0.01,0.3,19
4482,339,3개월 이상,덴탈껌,반려견,1,,100g,3500,파밀 사보로츄 껌 피모건강,12,1,25,6,0.01,0.3,19
4483,339,3개월 이상,덴탈껌,반려견,1,,100g,3000,파밀 사보로츄 껌 노화예방,12,1,25,6,0.01,0.3,19
4484,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,90g,12000,마도로스펫 데일리트릿,82.4,3.4,0.9,3.8,,,3.7
4485,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,80g,16000,마도로스펫 오징어트릿,84.9,6.2,,7.4,,,0.8
4486,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,90g,16000,마도로스펫 소고기적채트릿,80,6.5,1,4.8,,,1.8
4487,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,80g,20000,마도로스펫 사슴트릿,80.8,13.7,,5.6,,,0.6
4488,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,120g,17000,마도로스펫 멸치트릿,76.7,6.4,,10.5,,,1.5
4489,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,120g,15000,마도로스펫 북어트릿,87.2,2.7,,8.4,,,1.3
4490,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,120g,16000,마도로스펫 치킨트릿,89.1,4.7,,7.8,,,1.5
4491,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,120g,18000,마도로스펫 오리트릿,87.7,4.9,,9.1,,,1.5
4493,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,60g,11000,마도로스펫 가자미트릿,87,4,,5,,,4
4494,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,160g,24000,마도로스펫 소고기트릿,87.3,10.9,,4.6,,,3
4495,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,120g,19000,마도로스펫 참치트릿,93,1.1,,7.2,,,3.9
4496,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,150g,22000,마도로스펫 피그트릿,86,8,,5,,,2
4497,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,100g,21000,마도로스펫 대구트릿,91,3,,4,,,3
4498,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,90g,11900,마도로스펫 연어트릿,84.1,7.9,,7.1,,,0.8
4499,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,20g,3000,마도로스펫 열빙어트릿,67.3,18,,7.3,,,1.5
4500,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,20g,30000,마도로스펫 치킨텐더,89.9,2.7,,10.2,,,2.7
4501,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,400g,38000,마도로스펫 큰치킨,87.2,2.7,,8.4,,,1.3
4502,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,300g,28000,마도로스펫 큰북어,87.2,2.7,,8.4,,,1.3
4503,127,3개월 이상,파우더,"반려견, 반려묘 공용",3,,130g,10000,마도로스펫 사골곰탕파우더,56.5,29.8,,2.3,,,0.6
4504,127,3개월 이상,파우더,"반려견, 반려묘 공용",3,,100g,24000,마도로스펫 코티지치즈파우더,44,46.8,,4.6,,,0.6
4505,127,3개월 이상,파우더,"반려견, 반려묘 공용",3,,80g,10000,마도로스펫 오리파우더,87.4,3.5,,7.8,,,1.4
4506,127,3개월 이상,파우더,"반려견, 반려묘 공용",3,,100g,10000,마도로스펫 치킨파우더,89.8,3.9,,6.9,,,1.5
